# All tag archives (98): dimension | key | label | slug | description
dimension	key	label	slug	description
scenario	Fundraiser & Charity	Fundraiser & Charity	Fundraiser & Charity	Sublimated fundraiser and charity merch — tees, hoodies, and
scenario	Music & Merch	Music & Merch	Music & Merch	Sublimated music and band merch for touring artists, festiva
scenario	Wedding & Party	Wedding & Party	Wedding & Party	Sublimated wedding and party merch for bachelorette weekends
scenario	Gift & Souvenir	Gift & Souvenir	Gift & Souvenir	Sublimated gift and souvenir merch for tourist destinations,
scenario	Construction & Engineering	Construction & Engineering	Construction & Engineering	Sublimated workwear for construction and engineering teams —
scenario	Express & Logistics	Express & Logistics	Express & Logistics	Sublimated uniforms for express delivery and logistics teams
scenario	Hospitality & F&B	Hospitality & F&B	Hospitality & F&B	Sublimated uniforms for hospitality and food & beverage team
scenario	Medical & Healthcare	Medical & Healthcare	Medical & Healthcare	Sublimated scrubs and uniforms for medical and healthcare te
scenario	Security & Property	Security & Property	Security & Property	Sublimated uniforms for security and property management tea
scenario	Retail & Supermarket	Retail & Supermarket	Retail & Supermarket	Sublimated uniforms for retail and supermarket teams — store
scenario	Education & School	Education & School	Education & School	Sublimated uniforms and merch for schools, preschools, and e
scenario	Corporate & Promo	Corporate & Promo	Corporate & Promo	Sublimated corporate promo merch for trade shows, conference
scenario	Transit & Transport	Transit & Transport	Transit & Transport	Sublimated uniforms for transit and transport teams — driver
scenario	Studio & Gym	Studio & Gym	Studio & Gym	Sublimated merch for studios and gyms — instructor polos, tr
scenario	Military	Military	Military	Sublimated merch for military units, veterans organizations,
scenario	Festival & Holiday	Festival & Holiday	Festival & Holiday	Sublimated holiday and festival merch — Christmas, Halloween
scenario	Beach	Beach	Beach	Sublimated beach and resort merch — board shorts, rash guard
scenario	Lycra	Lycra	Lycra	Sublimated lycra and stretch apparel for dance, gymnastics, 
scenario	Sublimation	Sublimation	Sublimation	Heat-press sublimation printing — dye turns to gas and bonds
scenario	Polyester	Polyester	Polyester	Polyester is the workhorse of sublimation — it bonds with su
